DayOfWeek,Hour,Minute,Response Time,Delay TIme,SLA Violation Number,SLA Violation Percent, SLA Violation Second, Cancel Cloudlet, Failed Cloudlet, Finished Cloudlet
6,0,1,3.8239454345113657,3.8155525351031043,5518.0,0.8824564209179594,17759.86457400027,0,3,6250
6,0,2,11.527011809228856,11.516614534530644,6458.0,1.0,67916.29666399932,0,177,6281
6,0,3,15.897121706884665,15.886438675993979,7219.0,1.0,107465.20080199938,0,402,6817
6,0,4,5.776286691726758,5.764389602648408,3682.0,0.40293280805427883,46680.22800400044,0,188,8950
6,0,5,0.42075726001393854,0.41049805554780217,9.0,0.001256106071179344,4.199059000000057,0,0,7165
6,0,6,0.32165362434949923,0.3111816988496444,0.0,0.0,0.0,0,0,7302
6,0,7,0.32686107950481114,0.3166246008253241,2.0,2.751031636863824E-4,0.005939999999931889,0,0,7270
6,0,8,0.2348590086099276,0.22434263588392922,0.0,0.0,0.0,0,0,7201
6,0,9,0.23538255776074216,0.22505860484533907,0.0,0.0,0.0,0,0,7306
6,0,10,0.2191016565345399,0.20875141140217573,0.0,0.0,0.0,0,0,7139
6,0,11,0.22510044193287454,0.2147666574174529,0.0,0.0,0.0,0,0,7388
6,0,12,0.21463164023732292,0.204046742718454,0.0,0.0,0.0,0,0,7416
6,0,13,0.2166865884432388,0.2061001574439263,0.0,0.0,0.0,0,0,7355
6,0,14,0.17719074418604666,0.16675793835145872,0.0,0.0,0.0,0,0,7267
6,0,15,0.1717797699653923,0.1612364896885861,0.0,0.0,0.0,0,0,7225
6,0,16,0.1297733261342011,0.11942684419995546,0.0,0.0,0.0,0,0,7362
6,0,17,0.1291492288298097,0.11856704192930025,0.0,0.0,0.0,0,0,7298
6,0,18,0.14356336955049387,0.13316493521388748,0.0,0.0,0.0,0,0,7409
6,0,19,0.13292453814279281,0.1229721381428035,0.0,0.0,0.0,0,0,7000
6,0,20,0.14279185116711857,0.13244998097417285,0.0,0.0,0.0,0,0,7411
6,0,21,0.14091142964989983,0.13086530748107084,0.0,0.0,0.0,0,0,7285
6,0,22,0.1382215793595683,0.12788583660844474,0.0,0.0,0.0,0,0,7277
6,0,23,0.1303104778966991,0.1196173971718335,0.0,0.0,0.0,0,0,7284
6,0,24,0.12534727586679892,0.11508047975030525,0.0,0.0,0.0,0,0,7210
6,0,25,0.13419247620348404,0.12378271073922374,0.0,0.0,0.0,0,0,7291
6,0,26,0.14583527029589796,0.13563700800972847,0.0,0.0,0.0,0,0,7366
6,0,27,0.1353566120830469,0.1248276891743644,0.0,0.0,0.0,0,0,7316
6,0,28,0.1313799922629993,0.12105846697978292,0.0,0.0,0.0,0,0,7238
6,0,29,0.1417240152639591,0.1311278106435083,0.0,0.0,0.0,0,0,7272
6,0,30,0.1380019636587435,0.12745237506851795,0.0,0.0,0.0,0,0,7292
6,0,31,0.1437812823351872,0.13335202337977006,0.0,0.0,0.0,0,0,7314
6,0,32,0.13708980158064868,0.1267043883804379,0.0,0.0,0.0,0,0,7212
6,0,33,0.13354319786609345,0.12307574601630532,0.0,0.0,0.0,0,0,7217
6,0,34,0.13420309877737868,0.1238054883300429,0.0,0.0,0.0,0,0,7198
6,0,35,0.13450814144421408,0.12435033446371985,0.0,0.0,0.0,0,0,7077
6,0,36,0.13766938394690814,0.12699579980984885,0.0,0.0,0.0,0,0,7363
6,0,37,0.1371553954707173,0.12675658443022064,0.0,0.0,0.0,0,0,7065
6,0,38,0.12466977491743272,0.1143298928519793,0.0,0.0,0.0,0,0,6953
6,0,39,0.13907697582338863,0.12861733986380403,0.0,0.0,0.0,0,0,7197
6,0,40,0.13383698097801658,0.12356480963785497,0.0,0.0,0.0,0,0,7097
6,0,41,0.14271890267688273,0.13197869677418655,0.0,0.0,0.0,0,0,7285
6,0,42,0.1368263223795218,0.12618644439822216,0.0,0.0,0.0,0,0,7212
6,0,43,0.13837034181076585,0.12789775024184485,0.0,0.0,0.0,0,0,7235
6,0,44,0.13673279268473285,0.12611675403723224,0.0,0.0,0.0,0,0,7245
