Day Number, Weekend, DayOfWeek,Hour,Minute, CPU Util., VMs count, Throughput, Response Time, Delay Time, SLA Violation count, SLA Violation Percent, SLA Violation Time, Failed Cloudlet, Future Requests
1,1,6,0,10,0.0,2.0,104.34782608695652,3.5671083333333393,11.472885198383864,20.0,0.4166666666666667,46.22220000000004,0.0,56.8
1,1,6,0,20,66.66666666666667,3.0,98.75,4.8120987341771695,8.573614384475515,49.0,0.620253164556962,163.55659999999648,0.0,52.4
1,1,6,0,30,0.0,4.0,101.81818181818181,2.181539285714227,2.069333729203512,2.0,0.03571428571428571,0.20799999999917418,0.0,66.3
1,1,6,0,40,100.0,5.0,103.79746835443038,2.268292682926829,0.3900212789813248,2.0,0.024390243902439025,2.0,0.0,68.7
1,1,6,0,50,40.0,5.0,97.91666666666666,2.169787234042544,0.15861845053272625,0.0,0.0,0.0,0.0,52.4
1,1,6,1,0,0.0,4.0,100.0,2.0552777777777718,0.46687296728710215,0.0,0.0,0.0,0.0,59.9
1,1,6,1,10,25.0,4.0,98.21428571428571,2.435956363636367,0.3254034794199747,8.0,0.14545454545454545,11.997600000000602,0.0,49.4
1,1,6,1,20,0.0,4.0,103.44827586206897,2.0,0.18727420273440076,0.0,0.0,0.0,0.0,47.0
1,1,6,1,30,33.333333333333336,3.0,96.66666666666667,1.9996551724137857,0.46222280185219233,0.0,0.0,0.0,0.0,46.5
1,1,6,1,40,66.66666666666667,3.0,97.82608695652173,2.2330933333332927,0.7660592943776653,2.0,0.044444444444444446,1.499599999999191,0.0,50.9
1,1,6,1,50,0.0,3.0,111.76470588235294,2.9027894736841757,1.1273851302777742,15.0,0.2631578947368421,27.463399999998728,0.0,57.0
1,1,6,2,0,0.0,4.0,102.17391304347827,2.1702127659574466,0.6284026326850096,2.0,0.0425531914893617,2.0,0.0,49.6
1,1,6,2,10,0.0,4.0,100.0,2.2849999999999846,0.2609636520655835,2.0,0.047619047619047616,2.0,0.0,47.3
1,1,6,2,20,25.0,4.0,102.85714285714285,2.166111111111099,0.18310994116105386,0.0,0.0,0.0,0.0,39.4
1,1,6,2,30,0.0,3.0,115.625,2.297027027027021,0.1823532409323502,3.0,0.08108108108108109,3.0,0.0,36.8
1,1,6,2,40,100.0,2.0,86.8421052631579,3.4194666666665428,2.275579480856589,18.0,0.5454545454545454,26.852399999996123,0.0,33.3
1,1,6,2,50,33.333333333333336,3.0,95.23809523809523,1.9994999999999892,1.6758720315031677,0.0,0.0,0.0,0.0,33.5
1,1,6,3,0,0.0,4.0,102.56410256410255,2.05,0.5643419865743147,0.0,0.0,0.0,0.0,36.5
1,1,6,3,10,0.0,4.0,100.0,2.054054054054054,0.05882603112669557,0.0,0.0,0.0,0.0,34.2
1,1,6,3,20,33.333333333333336,3.0,113.63636363636364,2.5866079999999054,0.3362621657804939,4.0,0.16,10.66519999999764,0.0,30.2
1,1,6,3,30,0.0,3.0,111.11111111111111,2.2666666666666666,0.1705603300914734,4.0,0.13333333333333333,4.0,0.0,27.7
1,1,6,3,40,100.0,2.0,104.16666666666667,2.72,1.2884617292027678,4.0,0.16,4.0,0.0,25.1
1,1,6,3,50,0.0,3.0,100.0,1.9995454545454445,0.9490157030344331,0.0,0.0,0.0,0.0,29.1
1,1,6,4,0,0.0,3.0,100.0,2.1813636363636264,0.2242961879310746,0.0,0.0,0.0,0.0,27.1
1,1,6,4,10,33.333333333333336,3.0,100.0,2.0,0.18688691308689814,0.0,0.0,0.0,0.0,23.7
1,1,6,4,20,0.0,2.0,100.0,2.7777111111109765,2.801276654271551,5.0,0.2777777777777778,6.999199999998382,0.0,26.9
1,1,6,4,30,0.0,3.0,100.0,2.6999299999998585,1.0481080299465309,5.0,0.25,4.998999999997977,0.0,22.0
1,1,6,4,40,0.0,4.0,100.0,2.08,0.17963070693843453,0.0,0.0,0.0,0.0,30.1
1,1,6,4,50,66.66666666666667,3.0,93.54838709677419,2.1379310344827585,0.034796238244514104,0.0,0.0,0.0,0.0,20.9
1,1,6,5,0,0.0,2.0,100.0,3.6842580645154097,0.8810441078630417,13.0,0.41935483870967744,39.103199999990466,0.0,24.6
1,1,6,5,10,0.0,2.0,100.0,2.5,0.5312899336028488,2.0,0.1,2.0,0.0,19.3
1,1,6,5,20,0.0,2.0,100.0,2.6362636363643435,0.2117978182329489,5.0,0.22727272727272727,5.99820000001273,0.0,17.1
1,1,6,5,30,0.0,2.0,100.0,2.1658333333334667,0.4886746373674691,0.0,0.0,0.0,0.0,25.1
1,1,6,5,40,0.0,2.0,100.0,2.7243359999993118,1.1274256999496632,6.0,0.24,11.10879999998724,0.0,20.8
1,1,6,5,50,0.0,3.0,100.0,2.230769230769231,0.8049870313648261,0.0,0.0,0.0,0.0,27.4
1,1,6,6,0,33.333333333333336,3.0,96.66666666666667,1.9996551724138483,0.12395570261740543,0.0,0.0,0.0,0.0,24.6
1,1,6,6,10,100.0,2.0,102.94117647058823,3.1428228571427876,0.8793589495111453,11.0,0.3142857142857143,26.998799999997573,0.0,29.4
1,1,6,6,20,0.0,2.0,100.0,2.272727272727273,0.7939892885125722,2.0,0.09090909090909091,2.0,0.0,17.0
1,1,6,6,30,50.0,2.0,97.2972972972973,3.612216666666023,1.1160985778102173,20.0,0.5555555555555556,33.99439999999231,0.0,30.5
1,1,6,6,40,33.333333333333336,3.0,97.72727272727273,2.186046511627907,1.4496869374954964,0.0,0.0,0.0,0.0,30.2
1,1,6,6,50,25.0,4.0,100.0,1.99933333333344,0.431520933221704,0.0,0.0,0.0,0.0,24.0
1,1,6,7,0,0.0,4.0,100.0,2.0,0.06567319009715324,0.0,0.0,0.0,0.0,21.7
1,1,6,7,10,0.0,3.0,100.0,2.2666666666666666,0.2823538302966057,2.0,0.13333333333333333,2.0,0.0,16.6
1,1,6,7,20,0.0,3.0,100.0,2.0,0.6572203208041283,0.0,0.0,0.0,0.0,22.6
1,1,6,7,30,0.0,3.0,100.0,2.3125,0.12544774239394885,4.0,0.125,4.0,0.0,23.4
1,1,6,7,40,0.0,2.0,107.14285714285714,2.0,1.621545380692932,0.0,0.0,0.0,0.0,25.5
1,1,6,7,50,0.0,3.0,100.0,2.0,2.3772428976031446,0.0,0.0,0.0,0.0,29.9
1,1,6,8,0,50.0,4.0,98.0,2.122448979591837,2.0291916862807153,0.0,0.0,0.0,0.0,37.7
1,1,6,8,10,0.0,5.0,100.0,2.0,0.17995542904611794,0.0,0.0,0.0,0.0,29.2
1,1,6,8,20,0.0,4.0,102.38095238095238,2.046279069767479,0.02643041812173461,0.0,0.0,0.0,0.0,30.0
1,1,6,8,30,33.333333333333336,3.0,100.0,2.060303030303079,0.6604990366046555,0.0,0.0,0.0,0.0,43.8
1,1,6,8,40,0.0,3.0,102.32558139534885,2.2954545454545454,0.11958295964980599,2.0,0.045454545454545456,2.0,0.0,29.3
1,1,6,8,50,50.0,2.0,95.23809523809523,3.7016099999997096,1.0503060897801568,13.0,0.325,46.0751999999884,0.0,33.5
1,1,6,9,0,0.0,3.0,100.0,2.0,2.064539221797306,0.0,0.0,0.0,0.0,26.9
1,1,6,9,10,0.0,4.0,100.0,2.0,0.10709444475678241,0.0,0.0,0.0,0.0,24.4
1,1,6,9,20,0.0,3.0,110.5263157894737,2.1904761904761907,0.27387630326043044,2.0,0.047619047619047616,2.0,0.0,25.4
1,1,6,9,30,0.0,3.0,102.77777777777777,2.4861783783779026,0.4179692741779503,6.0,0.16216216216216217,5.998799999986659,0.0,41.2
1,1,6,9,40,0.0,3.0,100.0,2.666333333333376,0.3842432780394165,9.0,0.2727272727272727,8.999000000003434,0.0,40.3
1,1,6,9,50,100.0,3.0,88.37209302325581,2.894705263158118,0.4562102582448597,10.0,0.2631578947368421,15.998800000008487,0.0,37.6
1,1,6,10,0,66.66666666666667,3.0,105.88235294117648,2.166111111110998,0.5192724499843411,0.0,0.0,0.0,0.0,40.7
1,1,6,10,10,0.0,3.0,102.0,2.2350980392156465,0.47231822806852425,2.0,0.0392156862745098,2.0,0.0,47.9
1,1,6,10,20,33.333333333333336,3.0,100.0,3.923190909091235,1.5042064526200025,18.0,0.4090909090909091,64.5204000000158,0.0,45.4
1,1,6,10,30,0.0,4.0,100.0,1.999487179487075,0.6998442390467254,0.0,0.0,0.0,0.0,44.5
