DayOfWeek,Hour,Minute,Requests, Requests Length
6,4,5,30.0,150000
6,4,6,10.0,50000
6,4,7,25.0,125000
6,4,8,27.0,135000
6,4,9,15.0,75000
6,4,10,17.0,85000
6,4,11,50.0,250000
6,4,12,32.0,160000
6,4,13,23.0,115000
6,4,14,24.0,120000
6,4,15,43.0,215000
6,4,16,20.0,100000
6,4,17,22.0,110000
6,4,18,21.0,105000
6,4,19,16.0,80000
6,4,20,18.0,90000
6,4,21,28.0,140000
6,4,22,33.0,165000
6,4,23,28.0,140000
6,4,24,23.0,115000
6,4,25,20.0,100000
6,4,26,29.0,145000
6,4,27,8.0,40000
6,4,28,16.0,80000
6,4,29,15.0,75000
6,4,30,20.0,100000
6,4,31,23.0,115000
6,4,32,36.0,180000
6,4,33,32.0,160000
6,4,34,39.0,195000
6,4,35,33.0,165000
6,4,36,22.0,110000
6,4,37,32.0,160000
6,4,38,38.0,190000
6,4,39,21.0,105000
6,4,40,25.0,125000
6,4,41,21.0,105000
6,4,42,14.0,70000
6,4,43,8.0,40000
6,4,44,36.0,180000
6,4,45,25.0,125000
6,4,46,31.0,155000
6,4,47,18.0,90000
6,4,48,15.0,75000
6,4,49,10.0,50000
6,4,50,31.0,155000
6,4,51,14.0,70000
6,4,52,27.0,135000
6,4,53,21.0,105000
6,4,54,12.0,60000
6,4,55,31.0,155000
6,4,56,26.0,130000
6,4,57,19.0,95000
6,4,58,25.0,125000
6,4,59,40.0,200000
6,5,0,31.0,155000
6,5,1,29.0,145000
6,5,2,18.0,90000
6,5,3,23.0,115000
6,5,4,30.0,150000
6,5,5,12.0,60000
6,5,6,26.0,130000
6,5,7,14.0,70000
6,5,8,12.0,60000
6,5,9,9.0,45000
6,5,10,20.0,100000
6,5,11,5.0,25000
6,5,12,20.0,100000
6,5,13,16.0,80000
6,5,14,30.0,150000
6,5,15,20.0,100000
6,5,16,6.0,30000
6,5,17,19.0,95000
6,5,18,18.0,90000
6,5,19,15.0,75000
6,5,20,22.0,110000
6,5,21,12.0,60000
6,5,22,20.0,100000
6,5,23,19.0,95000
6,5,24,35.0,175000
6,5,25,28.0,140000
6,5,26,41.0,205000
6,5,27,27.0,135000
6,5,28,34.0,170000
6,5,29,23.0,115000
6,5,30,12.0,60000
6,5,31,10.0,50000
6,5,32,28.0,140000
6,5,33,27.0,135000
